X,CH1,
Second,Volt,
-1.1605000e+00,0.00000e+00,
-1.1603535e+00,0.00000e+00,
-1.1602072e+00,0.00000e+00,
-1.1600606e+00,-2.40000e-01,
-1.1599141e+00,1.60000e-01,
-1.1597676e+00,-1.60000e-01,
-1.1596211e+00,0.00000e+00,
-1.1594747e+00,0.00000e+00,
-1.1593282e+00,0.00000e+00,
-1.1591817e+00,-1.60000e-01,
-1.1590352e+00,8.00000e-02,
-1.1588887e+00,0.00000e+00,
-1.1587423e+00,1.60000e-01,
-1.1585958e+00,0.00000e+00,
-1.1584493e+00,-8.00000e-02,
-1.1583028e+00,0.00000e+00,
-1.1581563e+00,-8.00000e-02,
-1.1580099e+00,0.00000e+00,
-1.1578634e+00,-1.60000e-01,
-1.1577169e+00,0.00000e+00,
-1.1575704e+00,-1.60000e-01,
-1.1574239e+00,-1.60000e-01,
-1.1572775e+00,0.00000e+00,
-1.1571310e+00,-8.00000e-02,
-1.1569844e+00,-8.00000e-02,
-1.1568379e+00,1.60000e-01,
-1.1566914e+00,-1.60000e-01,
-1.1565450e+00,0.00000e+00,
-1.1563985e+00,-1.60000e-01,
-1.1562520e+00,-3.20000e-01,
-1.1561055e+00,-3.20000e-01,
-1.1559590e+00,-1.60000e-01,
-1.1558126e+00,-9.60000e-01,
-1.1556661e+00,-8.80000e-01,
-1.1555196e+00,-2.40000e-01,
-1.1553731e+00,-8.80000e-01,
-1.1552266e+00,-4.00000e-01,
-1.1550802e+00,-3.20000e-01,
-1.1549337e+00,-2.40000e-01,
-1.1547872e+00,-1.60000e-01,
-1.1546407e+00,-3.20000e-01,
-1.1544942e+00,-3.20000e-01,
-1.1543478e+00,-3.20000e-01,
-1.1542013e+00,-4.00000e-01,
-1.1540548e+00,-8.00000e-01,
-1.1539083e+00,-1.04000e+00,
-1.1537617e+00,-1.04000e+00,
-1.1536154e+00,-1.12000e+00,
-1.1534688e+00,-9.60000e-01,
-1.1533223e+00,-1.04000e+00,
-1.1531758e+00,-1.04000e+00,
-1.1530293e+00,-8.80000e-01,
-1.1528829e+00,-1.04000e+00,
-1.1527364e+00,-1.04000e+00,
-1.1525899e+00,-1.04000e+00,
-1.1524434e+00,-8.80000e-01,
-1.1522969e+00,-9.60000e-01,
-1.1521505e+00,-8.80000e-01,
-1.1520040e+00,-8.80000e-01,
-1.1518575e+00,-1.04000e+00,
-1.1517110e+00,-9.60000e-01,
-1.1515645e+00,-8.80000e-01,
-1.1514181e+00,-1.04000e+00,
-1.1512716e+00,-1.60000e-01,
-1.1511251e+00,-7.20000e-01,
-1.1509786e+00,-8.80000e-01,
-1.1508321e+00,-1.60000e-01,
-1.1506857e+00,-7.20000e-01,
-1.1505392e+00,-3.20000e-01,
-1.1503927e+00,-9.60000e-01,
-1.1502461e+00,-3.20000e-01,
-1.1500996e+00,-5.60000e-01,
-1.1499532e+00,-4.00000e-01,
-1.1498067e+00,-3.20000e-01,
-1.1496602e+00,-8.00000e-01,
-1.1495137e+00,-3.20000e-01,
-1.1493672e+00,-8.80000e-01,
-1.1492208e+00,-2.40000e-01,
-1.1490743e+00,-9.60000e-01,
-1.1489278e+00,0.00000e+00,
-1.1487813e+00,-8.00000e-01,
-1.1486348e+00,-6.40000e-01,
-1.1484884e+00,-8.00000e-02,
-1.1483419e+00,-8.80000e-01,
-1.1481954e+00,-8.00000e-01,
-1.1480489e+00,-7.20000e-01,
-1.1479024e+00,-8.80000e-01,
-1.1477560e+00,-7.20000e-01,
-1.1476095e+00,-9.60000e-01,
-1.1474630e+00,-1.60000e-01,
-1.1473165e+00,-9.60000e-01,
-1.1471699e+00,-1.04000e+00,
-1.1470236e+00,-8.00000e-01,
-1.1468771e+00,-7.20000e-01,
-1.1467305e+00,-4.00000e-01,
-1.1465840e+00,-1.60000e-01,
-1.1464375e+00,0.00000e+00,
-1.1462911e+00,-1.60000e-01,
-1.1461446e+00,0.00000e+00,
-1.1459981e+00,-1.60000e-01,
-1.1458516e+00,-2.40000e-01,
-1.1457051e+00,0.00000e+00,
-1.1455587e+00,0.00000e+00,
-1.1454122e+00,0.00000e+00,
-1.1452657e+00,-1.60000e-01,
-1.1451192e+00,0.00000e+00,
-1.1449727e+00,0.00000e+00,
-1.1448263e+00,-8.00000e-02,
-1.1446798e+00,-1.60000e-01,
-1.1445333e+00,-1.60000e-01,
-1.1443868e+00,0.00000e+00,
-1.1442403e+00,-1.60000e-01,
-1.1440939e+00,0.00000e+00,
-1.1439474e+00,8.00000e-02,
-1.1438009e+00,0.00000e+00,
-1.1436543e+00,-8.00000e-02,
