X,CH1,
Second,Volt,
-2.8712353e-01,-1.80000e-01,
-2.8708693e-01,2.00000e-02,
-2.8705031e-01,-2.60000e-01,
-2.8701368e-01,2.00000e-02,
-2.8697705e-01,-1.00000e-01,
-2.8694043e-01,-2.40000e-01,
-2.8690383e-01,-1.00000e-01,
-2.8686720e-01,-1.20000e-01,
-2.8683057e-01,8.00000e-02,
-2.8679395e-01,2.00000e-02,
-2.8675732e-01,-1.00000e-01,
-2.8672072e-01,-1.00000e-01,
-2.8668410e-01,-2.40000e-01,
-2.8664747e-01,-6.00000e-02,
-2.8661084e-01,-2.00000e-02,
-2.8657421e-01,0.00000e+00,
-2.8653762e-01,4.00000e-02,
-2.8650099e-01,-1.00000e-01,
-2.8646436e-01,-1.40000e-01,
-2.8642774e-01,-2.20000e-01,
-2.8639111e-01,-4.00000e-02,
-2.8635451e-01,-2.00000e-02,
-2.8631788e-01,-1.00000e-01,
-2.8628126e-01,-1.00000e-01,
-2.8624463e-01,-2.00000e-02,
-2.8620800e-01,2.00000e-02,
-2.8617141e-01,-1.00000e-01,
-2.8613478e-01,-2.00000e-02,
-2.8609815e-01,-4.00000e-02,
-2.8606153e-01,-4.00000e-02,
-2.8602490e-01,2.00000e-02,
-2.8598830e-01,-8.00000e-02,
-2.8595167e-01,-8.00000e-02,
-2.8591505e-01,-2.60000e-01,
-2.8587842e-01,-6.00000e-02,
-2.8584179e-01,-6.00000e-02,
-2.8580520e-01,4.00000e-02,
-2.8576857e-01,4.40000e-01,
-2.8573194e-01,4.00000e-02,
-2.8569531e-01,0.00000e+00,
-2.8565869e-01,-2.60000e-01,
-2.8562209e-01,-1.00000e-01,
-2.8558546e-01,2.00000e-02,
-2.8554884e-01,-2.80000e-01,
-2.8551221e-01,8.00000e-02,
-2.8547558e-01,-8.00000e-02,
-2.8543898e-01,0.00000e+00,
-2.8540236e-01,-1.40000e-01,
-2.8536573e-01,-2.20000e-01,
-2.8532910e-01,-8.00000e-02,
-2.8529248e-01,2.00000e-02,
-2.8525588e-01,-2.00000e-01,
-2.8521925e-01,-1.60000e-01,
-2.8518263e-01,-2.60000e-01,
-2.8514600e-01,-1.80000e-01,
-2.8510937e-01,-1.00000e-01,
-2.8507277e-01,0.00000e+00,
-2.8503615e-01,2.00000e-02,
-2.8499952e-01,-8.00000e-02,
-2.8496289e-01,-1.80000e-01,
-2.8492627e-01,-1.80000e-01,
-2.8488967e-01,-1.00000e-01,
-2.8485304e-01,-1.40000e-01,
-2.8481641e-01,-4.00000e-02,
-2.8477979e-01,-6.00000e-02,
-2.8474316e-01,-1.80000e-01,
-2.8470656e-01,-1.40000e-01,
-2.8466994e-01,-1.40000e-01,
-2.8463331e-01,-1.00000e-01,
-2.8459668e-01,-1.20000e-01,
-2.8456005e-01,-2.00000e-01,
-2.8452346e-01,-6.00000e-02,
-2.8448683e-01,-8.00000e-02,
-2.8445020e-01,-1.20000e-01,
-2.8441358e-01,-1.60000e-01,
-2.8437695e-01,-1.40000e-01,
-2.8434035e-01,0.00000e+00,
-2.8430372e-01,-1.40000e-01,
-2.8426710e-01,-4.00000e-02,
-2.8423047e-01,0.00000e+00,
-2.8419384e-01,0.00000e+00,
-2.8415725e-01,-1.60000e-01,
-2.8412062e-01,0.00000e+00,
-2.8408399e-01,-8.00000e-02,
-2.8404737e-01,-1.80000e-01,
-2.8401074e-01,-2.60000e-01,
-2.8397414e-01,-1.00000e-01,
-2.8393751e-01,-1.00000e-01,
-2.8390089e-01,-1.60000e-01,
-2.8386426e-01,-1.60000e-01,
-2.8382763e-01,-3.80000e-01,
-2.8379104e-01,-1.60000e-01,
-2.8375441e-01,-4.00000e-01,
-2.8371778e-01,-2.00000e-01,
-2.8368115e-01,-4.00000e-01,
-2.8364453e-01,-2.60000e-01,
-2.8360793e-01,-2.60000e-01,
-2.8357130e-01,-2.80000e-01,
-2.8353468e-01,-6.00000e-02,
-2.8349805e-01,-4.00000e-02,
-2.8346142e-01,-1.00000e-01,
-2.8342482e-01,0.00000e+00,
-2.8338820e-01,-3.20000e-01,
-2.8335157e-01,-1.00000e-01,
-2.8331494e-01,-8.00000e-02,
-2.8327832e-01,-4.00000e-02,
-2.8324172e-01,-2.00000e-02,
-2.8320509e-01,0.00000e+00,
-2.8316846e-01,-2.00000e-02,
-2.8313184e-01,-4.00000e-02,
-2.8309521e-01,0.00000e+00,
-2.8305861e-01,-8.00000e-02,
-2.8302199e-01,-4.00000e-02,
-2.8298536e-01,-1.80000e-01,
-2.8294873e-01,-2.00000e-01,
